"In Heather's Sheet",,,,"In Amandus's Sheet",,,"What it SHOULD be",,,"Comment"
"Morogoro","Morogoro","UMWEMA Group","e","Morogoro","Morogoro municipality","UMWEMA Group",,"Morogoro municipality",,
"Mtwara","Kinondoni","TAYOPA","n",,,,,,,
"Mtwara","Mtwara urban","American Peace Corps Volunteers","e","Mtwara","Mtwara urban","Volunteers in Mt",,,"Peace Corps",
"Mtwara","Mtwara urban","ARTUMAS Group","n",,,,,,,
"Mtwara","Mtwara urban","CAHVIWAVUTE Group","n",,,,,,,
"Mtwara","Mtwara urban","SHIDEPHA + - all done together under DSM","e","Mtwara","Mtwara urban","SHIDEPHA",,,,"all done together under DSM"
"Mtwara","Mtwara urban","Sports Dev. Agency","e","Mtwara","Mtwara urban","Sports Dev.Agency",,,"Sports Development Agency",
"Mtwara","Newala","Action Aid - both Mtwara surveys done together","e","Mtwara","Newala","ActionAid","Mtwara","Newala","ActionAid","both Mtwara surveys done together"
"Mtwara","Newala","SHKUM","n",,,,,,,
"Mtwara","Tandahimba","Action Aid - both Mtwara surveys done together","e","Mtwara","Tandahimba","ActionAid","Mtwara","Tandahimba","ActionAid","both Mtwara surveys done together"
