,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
9,"Mpwapwa SS"," 1,300 "," 45 "," 100 ",3,"Mpwawa","21602",01-Aug-07,100
10,"Msalato SS"," 540 "," 45 "," 50 ",933,"Dodoma","21755",31-Jul-07,50
11,"Chilonwa SS"," 182 "," 13 "," 50 ",2393,"Dodoma","21625",28-Jul-07,50
12,"Chamwino SS"," 260 "," 20 "," 50 ",402,"Dodoma","21631",30-Jul-07,50
13,"Mwitikira SS"," 187 "," 10 "," 50 ",4032,"Dodoma",,,
14,"Hombolo ss"," 240 "," 21 "," 50 ",1719,"Dodoma","21624",28-Jul-07,50
15,"Zoissa ss"," 280 "," 10 "," 50 ",77,"Kongwa","21619",31-Jul-07,50
16,"Kongwa ss"," 430 "," 33 "," 50 ",16,"Kongwa","21620",31-Jul-07,50
17,"Wotta ss"," 250 "," 11 "," 50 ",287,"Mpwapwa","21603",24-Aug-07,50
18,"Soya ss"," 320 "," 12 "," 50 ",43,"Kondoa","21760",12-Aug-07,50
19,"Mlali ss"," 320 "," 10 "," 50 ",37,"Kongwa","21621",10-Aug-07,50
20,"Makutupora ss"," 305 "," 21 "," 50 ",3573,"Dodoma","21632",29-Jul-07,50
21,"Mondo ss"," 232 "," 7 "," 50 ",88,"Kondoa","21761",01-Aug-07,50
22,"Handali ss"," 150 "," 11 "," 50 ",45,"Dodoma","21626",30-Jul-07,50
23,"Dodoma ss"," 1,178 "," 66 "," 150 ",32,"Dodoma","21762",30-Jul-07,150
24,"Mundemu ss"," 230 "," 13 "," 50 ",1689,"Dodoma",,,
25,"City Dodoma ss"," 1,600 "," 80 "," 100 ",781,"Dodoma","21764",30-Jul-07,100
26,"Mvumi ss"," 350 "," 40 "," 50 ",62,"Dodoma","21799",02-Aug-07,50
27,"Mlowa Barabarani ss"," 206 "," 12 "," 50 ",1126,"Dodoma","21638",27-Aug-07,50
28,"Bihawana Seminary"," 144 "," 6 "," 50 ",34,"Dodoma","21753",01-Aug-07,50
29,"Bereko ss"," 360 "," 10 "," 50 ",1,"Kondoa","21766",01-Aug-07,50
30,"Intela ss"," 240 "," 10 "," 50 ",73,"Kondoa","21767",10-Aug-07,50
31,"Abeid Karume ss"," 547 "," 15 "," 75 ",1,"Kondoa","21768",01-Aug-07,75
32,"Dabalo ss"," 120 "," 10 "," 50 ","p/bag","Dodoma","21627",28-Jul-07,50
33,"Kikuyu ss"," 359 "," 22 "," 50 ",884,"Dodoma","21769",31-Jul-07,50
34,"Mbabala ss"," 264 "," 9 "," 50 ","p/bag","Dodoma","21629",28-Jul-07,50
35,"Rudi ss"," 248 "," 9 "," 50 ",223,"Mpwapwa","21604",02-Aug-07,50
36,"Haneti ss"," 168 "," 10 "," 50 ",993,"Dodoma(V)","21770",01-Aug-07,50
37,"Chikopelo ss"," 160 "," 8 "," 50 ","p/bag","Dodoma(V)","21771",01-Aug-07,50
38,"Aya ss"," 180 "," 15 "," 50 ",109,"Dodoma","21772",07-Aug-07,50
39,"Huruma Girls ss"," 150 "," 14 "," 50 ","p/bag","Dodoma","21773",02-Aug-07,50
40,"Dodoma Nuru ss"," 350 "," 16 "," 50 ",1537,"Dodoma","21774",06-Aug-07,50
