,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
36,"Bwiru Boys ss"," 460 "," 22 "," 50 ",217,"Mwanza","21087",06-Aug-07,50
37,"Pamba ss"," 800 "," 57 "," 100 ",632,"Mwanza","21088",07-Aug-07,100
38,"Kitangiri ss"," 735 "," 21 "," 100 ",2218,"Mwanza","21089",06-Aug-07,100
39,"Bukumbi Girls ss"," 687 "," 23 "," 100 ",561,"Bukumbi-Kwimba","21090",20-Aug-07,100
40,"Kinango ss"," 146 "," 18 "," 50 ",38,"Magu","21091",09-Aug-07,50
41,"Imalilo ss"," 320 "," 12 "," 50 ",98,"Kwimba","21092",10-Aug-07,50
42,"Sumve ss"," 358 "," 20 "," 50 ",5,"Kwimba","21093",04-Aug-07,50
43,"Bukoli ss"," 300 "," 10 "," 50 ",525,"Geita","21094",04-Aug-07,50
44,"Nella ss"," 219 "," 9 "," 50 ",15,"Ngudu Kwimba","21095",10-Aug-07,50
45,"Sengerema Sem. / Nyankumbo ss"," 225 "," 12 "," 50 ","p/bag","Mwanza","21096",10-Aug-07,50
46,"Isamilo ss"," 205 "," 18 "," 50 ","p/bag","Mwanza","21097",06-Aug-07,50
47,"Paul Bomani ss"," 440 "," 20 "," 50 ",10408,"Mwanza","21098",10-Aug-07,50
48,"Loreto Girls ss"," 450 "," 20 "," 50 ",92,"Mwanza","21099",06-Aug-07,50
49,"Buswelu ss"," 653 "," 26 "," 75 ",188,"Igoma Mwanza","21100",06-Aug-07,75
50,"Lake ss"," 750 "," 35 "," 100 ",567,"Mwanza","21101",06-Aug-07,100
51,"Nyegezi Seminary"," 230 "," 15 "," 50 ",960,"Mwanza","21102",06-Aug-07,50
52,"St.joseph's Girls sem."," 287 "," 26 "," 50 ",1421,"Mwanza","21103",07-Aug-07,50
53,"Ngoma ss"," 220 "," 10 "," 50 ",391,"Sengerema","21104",09-Aug-07,50
54,"Mkolani ss"," 442 "," 42 "," 50 ",11638,"Mwanza","21105",08-Aug-07,50
55,"Mkula ss"," 215 "," 5 "," 50 ","ppp","Magu","21106",07-Aug-07,50
56,"Thaqaafa ss"," 1,000 "," 35 "," 100 ",10290,"Mwanza","21107",06-Aug-07,100
57,"Bukumbi Nurses&Midwives Train"," 120 "," 15 "," 50 ",1798,"Mwanza","21108",20-Aug-07,50
58,"Kilabela ss",,," 50 ",175,"Mwanza","21109",09-Aug-07,50
59,"Taqwa ss"," 800 "," 2 "," 100 ",2843,"Sengerema","21110",06-Aug-07,100
60,"Kakobe ss",,," 50 ",175,"Sengerema","21111",10-Aug-07,50
61,"Kalebezo ss",,," 50 ",175,"Sengerema","21112",10-Aug-07,50
62,"Nyamtelela ss",,," 50 ",175,"Sengerema","21113",06-Aug-07,50
63,"Nyamatongo ss",,," 50 ",175,"Sengerema","21114",08-Aug-07,50
64,"Buyagu ss",,," 50 ",175,"Sengerema","21115",09-Aug-07,50
65,"Nyakarilo ss",,," 50 ",175,"Sengerema","21116",09-Aug-07,50
66,"Miguluma ss",,," 50 ",175,"Sengerema","21117",08-Aug-07,50
67,"Tabaruka ss",,," 50 ",175,"Sengerema","21118",09-Aug-07,50
68,"Nkome ss",,," 50 ",139,"Geita","21119",08-Aug-07,50
69,"Chigunga ss",,," 50 ",139,"Geita","21120",09-Aug-07,50
70,"Nyachiluluma ss",,," 50 ",139,"Geita","21121",09-Aug-07,50
71,"Rwamgasa ss",,," 50 ",139,"Geita","21122",06-Aug-07,50
72,"Kaseme ss",,," 50 ",139,"Geita","21123",06-Aug-07,50
73,"Bulela ss",,," 50 ",139,"Geita","21124",10-Aug-07,50
74,"Kivukoni ss",,," 50 ",139,"Geita","21125",10-Aug-07,50
75,"Shanta Mine ss",,," 50 ",139,"Geita","21126",09-Aug-07,50
76,"Kakora ss",,," 50 ",139,"Geita","21127",09-Aug-07,50
77,"Senga ss",,," 50 ",139,"Geita","21128",08-Aug-07,50
78,"Shabaka ss",,," 50 ",139,"Geita","21129",10-Aug-07,50
79,"Nyamalimbe ss",,," 50 ",139,"Geita","21130",09-Aug-07,50
80,"Busanda ss",,," 50 ",139,"Geita","21131",07-Aug-07,50
81,"Ihanamilo ss",,," 50 ",139,"Geita","21132",10-Aug-07,50
82,"Kagu ss",,," 50 ",139,"Geita","21133",07-Aug-07,50
83,"Nyakamwanga ss",,," 50 ",139,"Geita","21134",07-Aug-07,50
84,"Lubanga ss",,," 50 ",139,"Geita","21135",08-Aug-07,50
85,"Igogo ss",,," 50 ",1333,"Mwanza","21136",14-Aug-07,50
86,"Bismark ss",,," 50 ",1333,"Mwanza","21137",06-Aug-07,50
87,"Baptist SS",,," 50 ",1474,"Mwanza","21138",07-Aug-07,50
88,"Kasamwa SS"," 370 "," 13 "," 50 ",110,"Geita","21139",07-Aug-07,50
89,"Mwingiro SS",,," 50 ",470,"Geita","21140",09-Aug-07,50
90,"Bukwimba SS",,," 50 ",14,"Geita","21141",10-Aug-07,50
91,"Kamhanga  SS",,," 50 ",290,"Geita","21142",08-Aug-07,50
92,"Katoro SS",,," 50 ",490,"Geita","21143",06-Aug-07,50
93,"Msalala SS",,," 50 ",137,"Geita","21144",08-Aug-07,50
94,"Komeni SS",,," 50 ",250,"Geita","21145",07-Aug-07,50
95,"Sogesca SS",,," 50 ",200,"Magu","21146",06-Aug-07,50
96,"Malili SS",,," 50 ",200,"Magu","21147",07-Aug-07,50
97,"Badugu SS",,," 50 ",200,"Magu","21148",06-Aug-07,50
98,"Kabila SS",,," 50 ",200,"Magu","21149",10-Aug-07,50
99,"Kijima ss / Sumve Nursing",,," 50 ",,"Misungwi","21150",21-Aug-07,50
100,"Kadila ss / Pius Msekwa ss",,," 50 ",,"Misungwi","18424",07-Aug-07,50
101,"Ole Njoolay ss",,," 50 ",,"Mwanza","18425",06-Aug-07,50
102,"Mbugani ss",,," 50 ",,"Mwanza","18426",06-Aug-07,50
103,"Mahina ss",,," 50 ",,"Mwanza","18427",06-Aug-07,50
104,"Mkuyuni ss",,," 50 ",,"Mwanza","18428",06-Aug-07,50
105,"Buhongwa ss",,," 50 ",,"Mwanza","18429",31-Jul-07,50
106,"Lugeye SS",,," 50 ",248,"Magu","18430",07-Aug-07,50
107,"Bangwe SS",,," 50 ",240,"Sengerema","18431",08-Aug-07,50
108,"Karoli Ss",,," 50 ",175,"Sengerema","18432",07-Aug-07,50
109,"Kiseke ss",,," 50 ",2843,"Mwanza","18433",06-Aug-07,50
110,"Major ss",,," 50 ",,"Mwanza","18434",06-Aug-07,50
111,"Rolya ss",,," 50 ",7726,"Mwanza","18435",06-Aug-07,50
112,"Islamiya ss",,," 50 ",7586,"Mwanza","18436",06-Aug-07,50
113,"Butimba TTc",,," 75 ",,,"18437",31-Jul-07,75
114,"St Augustine University",,," 75 ",,,"18438",06-Aug-07,75
115,"Murutunguru TTC",,," 75 ",,,"18439",09-Aug-07,75
,," 26,490 "," 1,178 "," 6,550 ",,,,,"6,550"
,"RUKWA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Kantalamba SS",,," 50 ",70,"Rukwa","20651",09-Aug-07,50
2,"Matai SS",,," 50 ",70,"Sumbawanga","20652",07-Aug-07,50
3,"Mazwi SS",,," 50 ",492,"Rukwa","20653",09-Aug-07,50
4,"Milala SS",,," 50 ",171,"Mpanda","20654",12-Aug-07,50
5,"Mpanda Girls SS",,," 50 ",228,"Mpanda","20655",17-Aug-07,50
6,"Mwangaza SS"," 413 "," 30 "," 50 ",47,"Mpanda","20656",17-Aug-07,50
7,"Nkasi SS",,," 50 ",119,"Namanyere","20657",24-Aug-07,50
8,"Itwelele SS",,," 50 ",396,"Sumbawanga","20658",09-Aug-07,50
9,"Mzindakaya SS",,," 50 ",113,"Sumbawanga","20659",18-Aug-07,50
10,"St Maurus Chemchem SS",,," 50 ",591,"Sumbawanga","20660",09-Aug-07,50
11,"Vuma SS",,," 50 ",113,"Sumbawanga","20661",10-Aug-07,50
12,"Kizwite SS",,," 50 ",215,"Sumbawanga","20662",09-Aug-07,50
13,"Rukwa High School",,," 50 ",521,"Sumbawanga","20663",09-Aug-07,50
14,"Katumba ss",,," 50 ",480,"Mpanda","20664",17-Aug-07,50
15,"Chala ss",,," 50 ",15,"Sumbawanga","20665",22-Aug-07,50
16,"Mambwe ss",,," 50 ","P/bag","Sumbawanga","20666",24-Aug-07,50
17,"Mtipe ss",,," 50 ",187,"Sumbawanga",,,
18,"Mwazye ss",,," 50 ",34,"Sumbawanga","20668",16-Aug-07,50
19,"Inyonga ss",,," 50 ",60,"Mpanda","20669",17-Aug-07,50
20,"Mamba ss",,," 50 ",47,"Mpanda","20670",07-Aug-07,50
21,"Mshamba ss",,," 50 ","P/bag","Mpanda","20671",17-Aug-07,50
22,"Kipili ss",,," 50 ","P/bag","Nkasi",,,
23,"Laela ss",,," 50 ",1,"Sumbawanga","20673",24-Aug-07,50
24,"Kaengesa Seminary",,," 50 ",34,"Sumbawanga","20674",23-Aug-07,50
25,"Kate ss",,," 50 ","P/bag","Nkasi","20601",31-Aug-07,50
26,"Chisenga ss",,," 50 ",,,"20602",25-Aug-07,50
27,"Mpui ss",,," 50 ",,,"20603",07-Aug-07,50
28,"Chipeta ss",,," 50 ",,,,,
29,"Ulungu ss",,," 50 ",,,"20605",09-Aug-07,50
30,"Sumbawanga ss",,," 50 ",,,"20606",09-Aug-07,50
31,"St.Mary ss",,," 50 ",,,"20607",16-Aug-07,50
32,"Milundikwa ss",,," 50 ",,,"20608",08-Aug-07,50
33,"Mpanda VTC",,," 50 ",,,"20609",13-Aug-07,50
34,"Katandala VTC",,," 50 ",,,"20610",09-Aug-07,50
35,"Namanyere Nursing School",,," 50 ",,,"20611",24-Aug-07,50
36,"Kipande ss",,," 50 ",,"Nkasi",,,
37,"Kalema ss",,," 50 ",,"Mpanda","20613",14-Aug-07,50
38,"Mpeswa ss",,," 50 ",,"Mpanda","20649",07-Aug-07,50
39,"Mfimbu ss",,," 50 ",,"Mpanda","20648",16-Aug-07,50
40,"Mwesye ss",,," 50 ",,"Mpanda","20647",07-Aug-07,50
41,"Ndunji ss   Rungwa ss",,," 50 ",,"Mpanda","20631",13-Aug-07,50
42,"Msaginya ss",,," 50 ",,"Mpanda","20645",15-Aug-07,50
43,"Msanzi ss",,," 50 ",,"Sumbawanga(v)","20644",03-Sep-07,50
44,"Mnyagalue ss",,," 50 ",,"Sumbawanga(v)","20643",27-Aug-07,50
45,"Ilemba ss",,," 50 ",,"Sumbawanga(v)","20642",08-Aug-07,50
46,"Chuo Cha Kilimo Laela ",,," 50 ",,"Sumbawanga (V)","20617",24-Aug-07,50
47,"Ntuchi ss",,," 50 ",,"Nkasi","20641",07-Aug-07,50
48,"Mtenga",,," 50 ",,"Nkasi","20640",09-Aug-07,50
49,"Wampembe ss",,," 50 ",,"Nkasi",,,
50,"Kabwe ss",,," 50 ",,"Nkasi",,,
51,"Kalangasa ss",,," 50 ",,"Sumbawanga (V)","20616",09-Aug-07,50
52,"Mafulara ss",,," 50 ",,"Sumbawanga (V)","20615",09-Aug-07,50
53,"Sumbawanga TTC",,," 75 ",,,"20614",09-Aug-07,75
54,"Kwela ss",,," 50 ",,,"20637",08-Aug-07,50
55,"Uchile ss",,," 50 ",,,"20636",08-Aug-07,50
56,"Lusaka ss",,," 50 ",,,"20635",09-Aug-07,50
57,"Unyiha ss",,," 50 ",,,"20634",10-Aug-07,50
58,"Mwimbi ss",,," 50 ",,,"20633",21-Aug-07,50
59,"Kabungu ss",,," 50 ",,,"20618",07-Aug-07,50
60,"Ikola ss",,," 50 ",,,"20632",14-Aug-07,50
61,"Kanoge ss",,," 50 ",,,"20621",07-Aug-07,50
62,"Kashaulili ss",,," 50 ",,,"20630",07-Aug-07,50
63,"Mpanda ss",,," 50 ",,,,,
64,"Sintali ss   kanyele ss",,," 50 ",,,"20650",07-Aug-07,50
65,"Mkole ss",,," 50 ",,,,,
66,"Chuo cha maendeleo ya wananchi",,," 50 ",,,"20622",07-Aug-07,50
67,"Kilimani ss",,," 50 ",,,"20623",09-Aug-07,50
68,"Ipepa ss",,," 50 ",,,"20624",08-Aug-07,50
69,"Mbizi ss",,," 50 ",,,"20625",09-Aug-07,50
70,"Lwiche ss  katuma ss",,," 50 ",,,"20626",09-Aug-07,50
71,"Mazoka ss",,," 50 ",,,"20627",07-Sep-07,50
72,"Kalambo ss",,," 50 ",,,"20628",10-Aug-07,50
73,"Lukangao ss",,," 50 ",,,,,
,,,," 3,675 ",,,,," 3,225 "
,"RUVUMA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Kigonsera SS"," 390 "," 24 "," 50 ",143,"Songea","20251",15-Aug-07,50
2,"Lundo SS"," 297 "," 24 "," 50 ",58,"Liuli","20252",10-Aug-07,50
3,"Magata SS"," 380 "," 30 "," 50 ",446,"Mbinga","20253",11-Aug-07,50
4,"Makata SS"," 385 "," 26 "," 50 ",179,"Tunduru","20254",13-Aug-07,50
5,"Mbinga SS"," 505 "," 46 "," 75 ",75,"Mbinga","20255",14-Aug-07,75
6,"Mkinga SS"," 200 "," 9 "," 50 ",154,"Mbinga","20256",19-Aug-07,50
7,"Frank Weston SS"," 315 "," 20 "," 50 ",181,"Tunduru","20257",13-Aug-07,50
8,"Ruhuwiko SS"," 300 "," 30 "," 50 ",448,"Songea","20258",13-Aug-07,50
9,"Songea Girls SS"," 320 "," 28 "," 50 ",268,"Songea","20208",15-Aug-07,50
10,"Tunduru SS"," 390 "," 26 "," 50 ",78,"Tunduru","20260",15-Aug-07,50
11,"Namtumbo SS"," 230 "," 20 "," 50 ",78,"Namtumbo","20214",12-Aug-07,50
12,"Nazareth Tech College"," 110 "," 16 "," 50 ",34,"Tunduru","20261",23-Aug-07,50
13,"Lituhi SS"," 235 "," 18 "," 50 ",94,"Peramiho","20262",15-Aug-07,50
14,"Luegu ss",,," 50 ","p/bag","Songea(V)","20212",07-Aug-07,50
15,"Hagati ss",,," 50 ",446,"Mbiga","20281",15-Aug-07,50
16,"Ruanda ss / Namatuhi ss",,," 50 ",23,"Rwanda- Songea","20264",23-Aug-07,50
17,"Litembo ss",,," 50 ",574,"Mbinga","20265",14-Aug-07,50
18,"Mahilo ss",,," 50 ",392,"Mbinga","20266",12-Aug-07,50
19,"Makita ss",,," 50 ","p/bag","Mbinga","20267",14-Aug-07,50
20,"Ruvuma SS",,," 50 ",511,"Songea","20211",15-Aug-07,50
21,"Songea Boys ss",,," 50 ",2,"Songea","20268",21-Aug-07,50
22,"Songea muslim Sem",,," 50 ",448,"Songea","20269",20-Aug-07,50
23,"Maposeni ss",,," 50 ",121,"Peramiho","20270",08-Aug-07,50
24,"Nahimba ss / Nguruma ss",,," 50 ",682,"Songea","20271",07-Aug-07,50
25,"Mpitimbi ss"," 260 "," 16 "," 50 ",878,"Songea","20272",10-Aug-07,50
26,"Namabengo ss",,," 50 ","p/bag","Songea",,,
27,"Peramiho Girls ss",,," 50 ",21,"Peramiho","20273",13-Aug-07,50
28,"Selous ss",,," 50 ",76,"Namtumbo","20217",07-Aug-07,50
29,"Wilima ss",,," 50 ",60,"Songea","20274",20-Aug-07,50
30,"Mbunga ss",,," 50 ",188,"Kitanda Songea (v)","20275",15-Aug-07,50
31,"Masonya ss",,," 50 ",189,"Tunduru","20276",13-Aug-07,50
32,"Mbesa ss",,," 50 ","p/bag","Tunduru","20277",23-Aug-07,50
33,"Madaba ss",,," 50 ","p/bag","Songea(V)","20278",15-Aug-07,50
34,"Msamala ss",,," 50 ",14,"Songea","20279",07-Aug-07,50
35,"st. Paul's Liuls ss",,," 50 ",7,"Liuli","20280",16-Aug-07,50
36,"St.Luise Mbinga",,," 50 ",76,"Mbinga","20263",20-Aug-07,50
37,"St.Agnes Chipole ",,," 50 ",16,"Peramiho","20209",14-Aug-07,50
38,"Hanga Seminary",,," 50 ",217,"Songea(V)","20283",12-Aug-07,50
39,"Stella Matutina Sem. / Mletele ss",,," 50 ",682,"Songea(V)","20282",23-Aug-07,50
40,"Nalima ss",,," 50 ",,"Songea(V)","20284",15-Aug-07,50
41,"Kilagano ss",,," 50 ",,"Songea(V)","20285",13-Aug-07,50
42,"Likonde seminary",,," 50 ",17,"Peramiho","20210",13-Aug-07,50
43,"st.Benedict ss",,," 50 ",637,"Songea","20286",10-Aug-07,50
44,"Taifa foundation ss",,," 50 ",,"Songea","20287",08-Aug-07,50
45,"London ss",,," 50 ",,"Songea","20288",13-Aug-07,50
46,"Kalembo ss",,," 50 ",,"Songea","20290",14-Aug-07,50
47,"Bombambili ss",,," 50 ",,"Songea","20291",07-Aug-07,50
48,"Lukumbule ss",,," 50 ",,"Tunduru","20292",29-Aug-07,50
49,"Namasakata ss",,," 50 ",,"Tunduru",,,
50,"Nakapanya ss",,," 50 ",,"Tunduru","20294",31-Aug-07,50
51,"Nandembo ss",,," 50 ",,"Tunduru","20295",13-Aug-07,50
52,"Matemanga ss",,," 50 ",,"Tunduru",,,
53,"Mbangamao ss",,," 50 ",,"Mbinga",,,
54,"Dr.Shein ss",,," 50 ",,"Mbinga","20298",14-Aug-07,50
55,"Kipololo ss",,," 50 ",,"Mbinga","20299",25-Aug-07,50
56,"Kilimani ss",,," 50 ",,"Mbinga","20300",08-Aug-07,50
57,"Kwambi ss",,," 50 ",,"Mbinga","20220",08-Aug-07,50
58,"Lusetto ss",,," 50 ",,"Mbinga","20221",10-Aug-07,50
59,"Beroya ss",,," 50 ",,"Mbinga","20203",09-Aug-07,50
60,"Kingerikiti ss / Peramiho Culture",,," 50 ",,"Mbinga","20222",05-Sep-07,50
61,"Tingi ss",,," 50 ",,"Mbinga","20223",08-Aug-07,50
62,"Uviru ss",,," 50 ",,"Mbinga","20224",17-Aug-07,50
63,"Nangiru ss",,," 50 ",,"Mbinga","20225",08-Aug-07,50
64,"Mhola ss",,," 50 ",,"Mbinga","20226",08-Aug-07,50
65,"Kindimba ss",,," 50 ",,"Mbinga","20227",08-Aug-07,50
66,"Mbamba bay ss",,," 50 ",,"Mbinga","20228",10-Aug-07,50
67,"Matiri ss / Msamala ss",,," 50 ",,"Mbinga","20229",28-Aug-07,50
68,"Sasawala ss / Namtumbo non",,," 50 ",,"Namtumbo","20219",13-Aug-07,50
69,"Nasuli ss",,," 50 ",,"Namtumbo","20215",12-Aug-07,50
70,"Kimolo ss",,," 50 ",,"Namtumbo","20218",30-Aug-07,50
71,"Songea TTC",,," 75 ",189,"Songea","20230",14-Aug-07,75
72,"Subira ss",,," 50 ",,,"21249",20-Aug-07,50
73,"Misufini ss",,," 50 ",,,"20232",23-Aug-07,50
74,"Mfaranyaki ss",,," 50 ",,,"20233",20-Aug-07,50
75,"Majengo ss",,," 50 ",,,"20201",07-Aug-07,50
76,"Matogoro ss",,," 50 ",,,"20234",14-Aug-07,50
77,"Lizaboni ss",,," 50 ",,,"20289",07-Aug-07,50
78,"Gumeiro ss",,," 50 ",,,,,
79,"Chabruma ss",,," 50 ",,,"20235",13-Aug-07,50
80,"Sili ss",,," 50 ",,,"20245",13-Aug-07,50
81,"Lupunga ss",,," 50 ",,,"20202",09-Aug-07,50
82,"Mhalu ss / Kingelikiti ss",,," 50 ",,,"20236",12-Aug-07,50
83,"Magagura ss",,," 50 ",,,"20237",14-Aug-07,50
84,"Mgombasi ss / Liganga ss",,," 50 ",,,"20238",,
,"Nanungu ss",,," 50 ",,,"20239",08-Aug-07,50
1,"Lukimwa ss",,," 50 ",,,"20240",30-Aug-07,50
2,"Magazini ss / Matimila ss",,," 50 ",,,"20259",23-Aug-07,50
3,"Mtakanini ss / Mdandamo ss",,," 50 ",,,"20241",23-Aug-07,50
4,"Rwinga ss",,," 50 ",,,"20242",21-Aug-07,50
5,"Mkomanile ss / Darajambili ss",,," 50 ",,,"20243",17-Aug-07,50
6,"Kiuma ss",,," 50 ",,,"20244",27-Aug-07,50
7,"Nalasi ss / Matarawe ss",,," 50 ",,,"20231",08-Aug-07,50
8,"Semeni ss / St. Aghaton ss",,," 50 ",,,"20204",07-Aug-07,50
9,"Marumba ss / Mshangano ss",,," 50 ",,,"20205",09-Aug-07,50
10,"Kambarage ss / Chandarua ss",,," 50 ",,,"20206",14-Aug-07,50
11,"Kiamili ss",,," 50 ",,,"20246",15-Aug-07,50
12,"Langiro ss",,," 50 ",,,"20247",25-Aug-07,50
13,"Mikalange ss",,," 50 ",,,"20248",25-Aug-07,50
14,"Mkoha ss",,," 50 ",,,"20249",25-Aug-07,50
15,"Mkumbi ss",,," 50 ",,,"20250",25-Aug-07,50
16,"Ngwilizi ss",,," 50 ",,,"21250",25-Aug-07,50
,," 4,317 ",," 5,100 ",,,,," 4,800 "
,"SHINYANGA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Bariadi SS"," 282 "," 14 "," 50 ",423,"Bariadi","21274",14-Aug-07,50
2,"Kahama SS"," 516 "," 25 "," 50 ",386,"Kahama","12706",11-Aug-07,50
3,"Lalago SS"," 567 "," 18 "," 75 ",48,"Maswa","21261",07-Aug-07,75
4,"Maswa Girls SS"," 518 "," 24 "," 50 ",60,"Maswa","21294",17-Aug-07,50
5,"Shinyanga SS"," 773 "," 40 "," 100 ",157,"Shinyanga","20094",02-Aug-07,100
6,"Uhuru SS"," 646 "," 31 "," 100 ",573,"Shinyanga","21251",31-Jul-07,100
7,"Dutwa ss"," 342 "," 9 "," 50 ",288,"Bariadi","21275",13-Aug-07,50
8,"Kituli ss"," 211 "," 10 "," 50 ",26,"Tinde","21292",07-Aug-07,50
9,"Kimali ss"," 112 "," 9 "," 50 ",44,"Meatu","21263",09-Aug-07,50
10,"Mweli ss"," 185 "," 9 "," 50 ",864,"Kahama","19232",13-Aug-07,50
11,"Lugunga ss"," 124 "," 9 "," 50 ",36,"Bukombe","21290",09-Aug-07,50
12,"Kishimba ss"," 498 "," 20 "," 50 ",795,"Kahama","21288",09-Aug-07,50
13,"Malampaka ss"," 402 "," 16 "," 50 ",82,"Maswa","24786",13-Aug-07,50
14,"Bupandagila ss"," 200 "," 10 "," 50 ",125,"Bariadi","21279",14-Aug-07,50
15,"Wigehe SS"," 312 "," 14 "," 50 ",239,"Kahama","21285",12-Aug-07,50
16,"Binza SS"," 512 "," 11 "," 50 ",319,"Maswa","21269",17-Aug-07,50
17,"Samuye SS"," 151 "," 6 "," 50 ",1023,"Shinyanga","21291",07-Aug-07,50
18,"Meatu SS"," 261 "," 11 "," 50 ",47,"Meatu","21260",09-Aug-07,50
19,"Kanadi ss"," 296 "," 9 "," 50 ",473,"Bariadi","21276",13-Aug-07,50
20,"Mwl.Nyerere ss"," 175 "," 9 "," 50 ","P/bag","Kahama","19231",13-Aug-07,50
21,"Ushirombo ss"," 301 "," 15 "," 50 ",40,"Bukombe","12703",09-Aug-07,50
22,"Runzewe ss"," 160 "," 8 "," 50 ",454,"Kahama","12704",09-Aug-07,50
23,"Mipa ss"," 165 "," 9 "," 50 ",113,"Shinyanga(v)","20096",03-Aug-07,50
24,"Itilima ss"," 237 "," 7 "," 50 ",183,"Bariadi","21280",14-Aug-07,50
25,"Ntuzu ss"," 314 "," 12 "," 50 ",140,"Bariadi","21277",14-Aug-07,50
26,"Mwamapalala ss"," 286 "," 14 "," 50 ",388,"Bariadi","21278",14-Aug-07,50
27,"Isagehe ss"," 275 "," 7 "," 50 ",796,"Kahama","12705",11-Aug-07,50
28,"Shy Com.Institute"," 314 "," 15 "," 50 ",190,"Shinyanga","21252",31-Jul-07,50
29,"Mwandoya ss"," 71 "," 7 "," 50 ",160,"Shinyanga","21262",09-Aug-07,50
30,"Zunzuli ss"," 271 "," 9 "," 50 ",16,"Shinyanga","21297",27-Aug-07,50
31,"Buhangija ss"," 404 "," 16 "," 50 ",374,"Shinyanga","21255",31-Jul-07,50
32,"Buluba ss"," 148 "," 32 "," 50 ",173,"Shinyanga","21253",31-Jul-07,50
33,"Don Bosco Didia ss"," 350 "," 20 "," 50 ",564,"Shinyanga","21293",07-Aug-07,50
34,"Kanawa ss"," 422 "," 17 "," 50 ",564,"Shinyanga","21258",04-Aug-07,50
35,"Mwadui ss"," 350 "," 16 "," 50 ",51,"Mwadui","20093",02-Aug-07,50
36,"Mwadui Ufundi ss"," 186 "," 37 "," 50 ",746,"Shinyanga","20095",02-Aug-07,50
37,"Mwasayi ss"," 131 "," 8 "," 50 ",995,"Shinyanga","21295",23-Aug-07,50
38,"Busangi ss"," 112 "," 5 "," 50 ","P/bag","Kahama","19230",14-Aug-07,50
39,"Mpera ss"," 114 "," 8 "," 50 ","P/bag","Kahama","21286",11-Aug-07,50
40,"Dakama ss"," 108 "," 9 "," 50 ","P/bag","Kahama","21284",12-Aug-07,50
41,"Rocken Hill/ Solwa ss"," 209 "," 10 "," 50 ",842,"Kahama","12445",27-Aug-07,50
42,"Rajani ss"," 90 "," 8 "," 50 ",1107,"Shinyanga","20097",31-Jul-07,50
43,"Iselamagazi ss"," 74 "," 7 "," 50 ",1158,"Shinyanga","21296",27-Aug-07,50
44,"Kishapu ss"," 75 "," 4 "," 50 ",113,"Shinyanga","21259",05-Aug-07,50
45,"Mwamalasa ss"," 81 "," 8 "," 50 ",19,"Kishapu","10237",12-Aug-07,50
46,"Old Shinyanga ss"," 53 "," 4 "," 50 ",1218,"Shinyanga","12446",14-Aug-07,50
47,"Mhunze ss    Luhumbo ss"," 60 "," 4 "," 50 ",347,"Shinyanga","12707",12-Aug-07,50
48,"Nyalanja ss"," 41 "," 2 "," 50 ","P/bag","Meatu","21264",10-Aug-07,50
49,"Nguliguli ss"," 45 "," 4 "," 50 ",170,"Maswa","21282",17-Aug-07,50
50,"Nyalikungu ss"," 409 "," 9 "," 50 ",170,"Maswa","21272",17-Aug-07,50
51,"Rwepa ss"," 65 "," 6 "," 50 ",99,"Kahama","21283",09-Aug-07,50
52,"Ibadakuli "," 145 "," 16 "," 50 ",325,"Kahama","21256",31-Jul-07,50
53,"Kahama Muslim ss"," 79 "," 11 "," 50 ",799,"Kahama","21289",09-Aug-07,50
54,"MAEC(Ngwanza ss)"," 320 "," 10 "," 50 ",321,"Maswa","21281",16-Aug-07,50
55,"VETA"," 76 "," 9 "," 50 ",470,"Shinyanga","21254",31-Jul-07,50
,," 13,624 "," 687 "," 2,875 ",,,,," 2,875 "
,"SINGIDA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Lulumba SS"," 609 "," 15 "," 50 ",8,"Kiomboi","20703",01-Aug-07,50
2,"Mikese ss  Gunda ss",,," 50 ",48,"Manyoni","20702",01-Aug-07,50
3,"Mwanzi SS",,," 50 ",37,"Manyoni","20704",24-Aug-07,50
4,"Mwenge SS"," 827 "," 30 "," 50 ",193,"Singida","20705",09-Aug-07,50
5,"Ruvuma SS  Ikhanoda ss",,," 50 ",197,"Iramba","20706",03-Aug-07,50
6,"Tumaini SS",,," 50 ",533,"Kinampanda","20707",21-Aug-07,50
7,"Chemchem SS",,," 50 ",30,"Kiomboi","20708",31-Jul-07,50
8,"Iguguno SS",,," 50 ",55,"Singida","20709",14-Aug-07,50
9,"Kijota SS",,," 50 ",1024,"Singida","20710",31-Aug-07,50
10,"Mitundu SS",,," 50 ",79,"Itigi","20711",02-Aug-07,50
11,"Sepuka SS"," 560 "," 16 "," 50 ",460,"Singida","20712",01-Aug-07,50
12,"Sanza SS",,," 50 ",23,"Manyoni","20713",03-Aug-07,50
13,"Gumanga ss",,," 50 ",5,"Kiomboi","20714",05-Aug-07,50
